GameId,ClarifyingQuestion,InitializedWorldPath,InputInstruction,IsInstructionClear,Partition,qrel,qbank
CQ-game-1,,initial_world_states/builder-data/34-c135/step-20,Destroy the two blocks over the row that is connected to the column. Also destroy the two blocks that are under the row that is connected to the column. The result should look like an inverted L letter.,Yes,train,,
CQ-game-10,,initial_world_states/builder-data/12-c139/step-22,Place one yellow block on top of each purple block of the top row.,Yes,train,,
CQ-game-10,,initial_world_states/builder-data/12-c139/step-22,Place one yellow block on top of each purple block of the top row.,Yes,train,,
CQ-game-1000,Which color blocks?,initial_world_states/builder-data/23-c135/step-2,Place four blocks to the east of the highest block horizontally.,No,train,q_149,"'q_696', 'q_203', 'q_516', 'q_677', 'q_769', 'q_138', 'q_303', 'q_319', 'q_331', 'q_327', 'q_223', 'q_911', 'q_843', 'q_525', 'q_104', 'q_215', 'q_804', 'q_13', 'q_124', 'q_482', 'q_264', 'q_459', 'q_28', 'q_979', 'q_728', 'q_698', 'q_154', 'q_650', 'q_149', 'q_709', 'q_830', 'q_594', 'q_379', 'q_79', 'q_398', 'q_850', 'q_859', 'q_12', 'q_823', 'q_480', 'q_648', 'q_46', 'q_61', 'q_947', 'q_910', 'q_601', 'q_314', 'q_67', 'q_568', 'q_120', 'q_904', 'q_783', 'q_893', 'q_486', 'q_748', 'q_146', 'q_515', 'q_986', 'q_658', 'q_179', 'q_254', 'q_717', 'q_941', 'q_4', 'q_192', 'q_702', 'q_27', 'q_944', 'q_207', 'q_569', 'q_238', 'q_553', 'q_611', 'q_972', 'q_371', 'q_479', 'q_563', 'q_888', 'q_676', 'q_423', 'q_744', 'q_441', 'q_978', 'q_439', 'q_470', 'q_810', 'q_489', 'q_106', 'q_256', 'q_151', 'q_86', 'q_122', 'q_616', 'q_125', 'q_324', 'q_64', 'q_408', 'q_150', 'q_737', 'q_329', 'q_164', 'q_429', 'q_711', 'q_803', 'q_730', 'q_373', 'q_598', 'q_292', 'q_134', 'q_69', 'q_632', 'q_524', 'q_668', 'q_386', 'q_307', 'q_396', 'q_286', 'q_285', 'q_822', 'q_776', 'q_705', 'q_948', 'q_460', 'q_675', 'q_452', 'q_685', 'q_135', 'q_147', 'q_77', 'q_395', 'q_960', 'q_8', 'q_316', 'q_980', 'q_110', 'q_695', 'q_177', 'q_41', 'q_743', 'q_851', 'q_666', 'q_571', 'q_572', 'q_533', 'q_175', 'q_926', 'q_929', 'q_446', 'q_827', 'q_940', 'q_852', 'q_29', 'q_707', 'q_262', 'q_19', 'q_967', 'q_140', 'q_508', 'q_167', 'q_78', 'q_925', 'q_271', 'q_529', 'q_983', 'q_467', 'q_764'"
CQ-game-1001,,initial_world_states/builder-data/4-c96/step-18,Locate the purple structure and the block on its eastern part and place a row of 7 blue blocks right next to it on its east side (the last blue block will meet the western block of the green structure). Then locate the yellow structure and the block on its western part and place a row of 7 blue blocks right next to it on its west side (the last blue block will meet the eastern block of the red structure).,Yes,train,,
CQ-game-1002,After you remove the one green block there are no more green blocks. Which green blocks are you referring to?,initial_world_states/builder-data/29-c92/step-20,facing north destroy a green block located on top right most.place 1 green block at top of the green blocks located on the top left most.place a green block in 3rd row from top and between two green blocks.destroy two red blocks on left side and 2 vertical red blocks on right bottom side.,No,train,q_436,"'q_928', 'q_46', 'q_191', 'q_462', 'q_400', 'q_383', 'q_131', 'q_854', 'q_113', 'q_67', 'q_654', 'q_742', 'q_557', 'q_105', 'q_535', 'q_941', 'q_891', 'q_881', 'q_509', 'q_794', 'q_684', 'q_166', 'q_436', 'q_304', 'q_856', 'q_748', 'q_376', 'q_419', 'q_484', 'q_93', 'q_246', 'q_335', 'q_514', 'q_496', 'q_418', 'q_204', 'q_961', 'q_435', 'q_760', 'q_130', 'q_931', 'q_844', 'q_895', 'q_386', 'q_83', 'q_450', 'q_256', 'q_289', 'q_232', 'q_544', 'q_80', 'q_916', 'q_967', 'q_542', 'q_553', 'q_475', 'q_936', 'q_515', 'q_678', 'q_329', 'q_692', 'q_665', 'q_953', 'q_64', 'q_536', 'q_334', 'q_128', 'q_682', 'q_61', 'q_48', 'q_968', 'q_862', 'q_192', 'q_313', 'q_356', 'q_223', 'q_510', 'q_75', 'q_974', 'q_525', 'q_859', 'q_414', 'q_362', 'q_321', 'q_123', 'q_790', 'q_573', 'q_316', 'q_344', 'q_719', 'q_184', 'q_821', 'q_971', 'q_901', 'q_632', 'q_914', 'q_384', 'q_109', 'q_144', 'q_762', 'q_875', 'q_570', 'q_279', 'q_399', 'q_240', 'q_257', 'q_587', 'q_647', 'q_973', 'q_806', 'q_898', 'q_532', 'q_650', 'q_94', 'q_230', 'q_956', 'q_939', 'q_492', 'q_138', 'q_284', 'q_143', 'q_45', 'q_689', 'q_251', 'q_407', 'q_765', 'q_31', 'q_652', 'q_474', 'q_950', 'q_322', 'q_512', 'q_221', 'q_238', 'q_278', 'q_19', 'q_380', 'q_661', 'q_90', 'q_463', 'q_241', 'q_792', 'q_74', 'q_649', 'q_777', 'q_139', 'q_26', 'q_640', 'q_540', 'q_986', 'q_930', 'q_164', 'q_231', 'q_797', 'q_127', 'q_70', 'q_698', 'q_910', 'q_822', 'q_609', 'q_125', 'q_103', 'q_625', 'q_807', 'q_500', 'q_310'"
CQ-game-1003,,initial_world_states/builder-data/2-c136/step-20,Facing north destroy the purple block on the left. Place two blue blocks between the purple deleted block and the other purple blocks. They will be laying horizontally.,Yes,train,,
CQ-game-1004,,initial_world_states/builder-data/8-c92/step-4,Replace all of the blocks on the map with orange ones.,Yes,train,,
CQ-game-1005,,initial_world_states/builder-data/31-c73/step-24,Facing north destroy two green blocks on the forth layer make the blocks look like a C together.,Yes,train,,
CQ-game-1006,,initial_world_states/builder-data/1-c96/step-10,Facing south destroy the two yellow vertical blocks.,Yes,train,,
