qrel,ClarifyingQuestion
q_149,Which color blocks?
q_436,After you remove the one green block there are no more green blocks. Which green blocks are you referring to?
q_111,in any square west of the red blocks?
q_653,Should I destory east or west puyrple?
q_170,Where exactly am I placing the blue blocks?
q_479,What purple blocks? There are none only blue.
q_321,How do i place in the bottom if the purple are touching the ground?
q_236,Where on the map do I place the yellow block?
q_293,Should the two purple blocks I'm setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span?
q_965,How many blue blocks am I adding to the first just one on the north and one on the east?
q_712,How many blocks do I remove from the top? Do I remove the block on the far lower right once or twice I can't tell from the instructions?
q_362,Where is the yellow one? There is no yellow block?
q_467,There are no yellow or blue blocks. Do you want me to place them first?
q_925,There aren't any yellow or blue blocks do you need me to place them somewhere first?
q_288,Which direction do we first face before we remove the blue block?
q_366,The map appears empty to me. Can you clarify your instructions?
q_340,Do we build it horizontally or vertically?
q_673,Is it built on top of the left or right yellow block?
q_573,The board is empty.
q_280,How many green blocks do we destroy?
q_445,Which set of purple blocks east or west?
q_514,What color blocks do I place on the west and east side?
q_960,What yellow block?
q_737,The only vertical violet blocks that are consecutive are on the left side so which ones?
q_954,There aren't any yellow and blue blocks do you want me to place them first?
q_776,Diagonally in what direction?A purple one on top of which block?
q_315,You say left but left in terms of which direction where should i be facing for it to be left as orientation matters
q_580,Where are the blue blocks?
q_461,Where on the green blocks should the reds be placed?
q_773,What green blocks since there are none?
q_911,The instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall
q_342,do we place the 3 blocks next to each individual green box?
q_818,Do I place the orange blocks horizontally or vertical?
q_576,Should I place the yellow blocks next to the West most blocks or the East most blocks?
q_114,Where do I place two green ones?
q_603,Can you please specify which red one is on the left? (direction?)
q_360,There are five exposed surfaces total for this green block - what's the placement of these?
q_648,I can only place one block in the center.
q_775,There are no blue blocks on this board; where to place the green blocks and in what position?
q_981,Where do the 5 purple blocks placed horizontally to the left of the left block go as there's only space for 4 blocks horizontally?
q_572,There are no blocks to break. Also where should I start placing green blocks?
q_679,There are no green blocks. Where do I place the reds?
q_753,Does the orange row connect to the green column?
q_569,Where are the green blocks? I do not see any.
q_598,What blue blocks?
q_706,There is no blue block on the stucture
q_204,Which direction is top left?
q_742,Which green blocks?
q_785,There is no orange blocks in the structure
q_937,Break two green blocks facing which direction?
q_133,Which blue blocks?
q_604,where are the blue blocks?
q_758,Which directions should the horizontal row span?
q_187,Which side of green is not given
q_984,Does the purple go no the West side of the East side?
q_336,Where should the green blocks be placed?
q_382,What do you mean by bottommost purple block of the floating column ? There is now purple block in floating column
q_228,Which three vertical red blocks?
q_30,Where is the orange block?
q_6,Which direction should all these new blocks go?
q_350,How many blocks do i need to total?
q_874,Which side I need to make the rectangle is not clear
q_592,Should the purple blocks be on top of each other?
q_544,"For the instruction ""Reducing the height by one block at a time."" Do I do this until all of the blocks are gone?"
q_325,What do you mean by south and right of the red block? What direction do I face?Why does it say a total of 4 blocks should be placed when it only says to place 3?
q_895,There is no green block in the given structure so where I need to start from
q_57,Are you referring to the edges of the board?
q_534,Where is this line of blocks?
q_588,There are no red blocks directly north so hard to know where to start
q_137,There are no purple blocks on this board; is it the blue ones that should be removed?
q_987,Are three green blocks placed on the newest block or the initial east-most green block?
q_98,Am I standing on the west side and placing on the east side or standing on the east side and placing on the west side?
q_388,How many blue blocks do I place in each corner?
q_393,In the center of the board or do you mean between the two purple columns / beneath the red column?
q_614,I don't know if they mean horizontal from East to West or North to South
q_724,In which direction should the three horizontal blocks go?
q_221,Bo starting point for the orange blocks so not sure where the center is
q_146,Which three purple blocks on the right side?
q_527,Where in the center should they go?
q_805,center of what?
q_75,Where in the center should the three orange blocks be placed?
q_803,When in the center which direction do we go?
q_281,BNot sure where center is no starting point given
q_39,Should the orange blocks be placed and oriented to the east west north or south?
q_46,Where in the center do they go?
q_511,I don't know where the center is. The center of the structure or the center of the grid?
q_553,What two yellow blocks?
q_418,Where should I place the orange block? What row is referred to here or where should I place one?
q_341,What yellow blocks?
q_214,There aren't any blocks to break. Do I just place the blocks then?
q_916,Where do you want the vertical placement?
q_190,which yellow blocks?
q_730,Where are the two yellow lower blocks to break there are only purple and red blocks?
q_185,Facing North from where?
q_509,Where do I place the vertical yellow blocks?
q_931,Where are the two lower yellow blocks there are only green blocks in this structure?
q_733,Which direction do the subsequent blocks go from the middle?
q_457,Horizontally on which squares in the center?
q_820,Center of what and where exactly?
q_369,Which directions should the row span?
q_389,In which direction should the line of green blocks be going?
q_862,Which squares do I build the row of orange blocks?
q_277,Which direction do the three blocks head go in?
q_29,Which direction should the line of blocks go from front to end?
q_82,Where in the center do I place three green blocks horizontally?
q_681,"Does ""Where south meets east"" mean in the SE corner?"
q_25,Which direction horizontally should the green blocks be placed as the red structure is in the way?
q_787,The center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on
q_476,Which direction should the row be going? At what level of the structure should the row be placed?
q_968,In the center of what?
q_480,Which direction should I be facing so I know which way the two blocks next to the center one should go?
q_599,There is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks
q_716,What block do I destroy first?
q_398,Which direction should I place the green blocks and should it interact with the existing structure?
q_378,Where is the center place?
q_566,Which directions should the horizontal row of blocks span?
q_980,Which Center is not specified
q_788,How far East do I go to start building?
q_928,What platform?
q_38,On which side of the structure should I place the feet?
q_618,What color should the four blocks be?
q_151,Break a red block on top of where?
q_660,Break a red block where?
q_813,Put three green ones where?
q_516,There was no red block but instead a purple block
q_375,There is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones.
q_789,What do they mean by cherry and stem why not just say red and green blocks here confusing the build
